total my workers: 385,total my soldiers: 2,total my archers: 0,total my bases: 14,total my barracks: 385,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 1090,total my soldiers: 10,total my archers: 5,total my bases: 14,total my barracks: 1087,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 404,total my soldiers: 2,total my archers: 0,total my bases: 14,total my barracks: 404,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 984,total my soldiers: 10,total my archers: 10,total my bases: 14,total my barracks: 980,total my refineries: 1,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 1132,total my soldiers: 4,total my archers: 0,total my bases: 14,total my barracks: 1132,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
