total my workers: 304,total my soldiers: 2,total my archers: 0,total my bases: 14,total my barracks: 303,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 644,total my soldiers: 4,total my archers: 0,total my bases: 14,total my barracks: 643,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 510,total my soldiers: 5,total my archers: 6,total my bases: 14,total my barracks: 508,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 433,total my soldiers: 2,total my archers: 0,total my bases: 14,total my barracks: 433,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
total my workers: 707,total my soldiers: 1,total my archers: 0,total my bases: 14,total my barracks: 707,total my refineries: 0,max workers: 0,min workers: 1,max soldiers: 4,min soldiers: 5,max archers: 2,min archers: 3,max bases: 6,max barracks: 7,max refineries: 8,
